Designator,Footprint,Quantity,Value,LCSC Part #
J10,TestPoint_Loop_D2.50mm_Drill1.0mm,1,RX_DEBUG,
J11,TestPoint_Loop_D2.50mm_Drill1.0mm,1,TX_DEBUG,
J12,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,24V INPUT,
"J13, J14",TestPoint_Loop_D2.50mm_Drill1.0mm,2,Conn_01x01,
"J15, J16, J17, J18",TerminalBlock_8_pin,4,Conn_01x08,
J19,PinHeader_1x04_P2.54mm_Vertical,1,PROG,
J2,TerminalBlock_4_pin,1,GYRO_2,
J20,TerminalBlock_3_Pin,1,IR Interrupt,
J21,TerminalBlock_2_Pin,1,DC OUT ROTARY,
J22,TerminalBlock_4_pin,1,SOLENOID PUMP,
J23,TerminalBlock_4_pin,1,MOTOR_A/MOTOR_B,
J24,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,12V INPUT,
J3,TerminalBlock_4_pin,1,GYRO_3,
J4,TerminalBlock_4_pin,1,LIDAR Sensor,
"J6, J7",RJ45_OST_PJ012-8P8CX_Vertical,2,RJ45,
J8,TerminalBlock_2_Pin,1,Footlock,
J9,PinHeader_2x07_P1.27mm_Vertical,1,STLink,
L1,0402,1,L,
L2,0805,1,10uH,C504016
L3,0402,1,22nH,C12670
L4,0402,1,3n,
L5,SLB2212P,1,L,
Q1,SOT-23,1,BSS138,
"Q2, Q3, Q4, Q5",SOT-23,4,MMBT2222A 1P,C8512
R10,0805,1,100K,
R11,0805,1,21K,
"R12, R8",0402,2,100R,
R13,0805,1,22K,
"R14, R35, R7",0603,3,1K,
"R15, R17",0603,2,100R,C22775
R16,0603,1,100K,
"R18, R19, R20, R9",0402,4,1K,
R2,0402,1,47R,
"R21, R22, R23, R24, R25, R26, R27, R29, R30, R31, R32, R34, R36, R37, R38, R40, R41, R42",0603,18,10K,
"R28, R33, R39, R43",0603,4,2K,
R3,0603,1,15K,
R4,0603,1,100R,
R44,0805,1,10K,
R6,0603,1,3M3,
RV1,Potentiometer_Vishay_T73YP_Vertical,1,10K,
SW1,SW_TS-1187A-B-A-B,1,EN,
SW2,SW_TS-1187A-B-A-B,1,BOOT,
SW3,SW_TS-1187A-B-A-B,1,EN,C318884
SW4,SW_TS-1187A-B-A-B,1,BOOT_,C318884
"TP1, TP2, TP3, TP4",TestPoint_Loop_D2.50mm_Drill1.0mm,4,~,
TP5,TestPoint_Loop_D2.50mm_Drill1.0mm,1,TestPoint,
"U10, U12, U13, U15",AP3P3R0MT,4,PMOS,
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
"U14, U5",SOP-8_3.9x4.9mm_P1.27mm,2,CC6900SO-20A,
"U16, U17",SOIC-8_3.9x4.9mm_P1.27mm,2,L6388ED013TR,
U18,TO-220-5_Vertical,1,XL4016,
"U19, U20",TDSON-8,2,IAUC45N04S6N070HATMA1,
U2,LQFP-64_10x10mm_P0.5mm,1,~,
U3,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVSIQ,
"U4, U7",IC_L6201PS,2,~,
U6,MODULE_TPSM265R1SILR,1,TPSM265R1SILR,
U8,SOT-223-3_TabPin2,1,LM1117-3.3,
U9,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm,1,QFN48,
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,20Mhz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.7680 KHz 12.5 pF,
Y4,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32.0000 MHz 8pF,
